|"355|",|"985|",|"1|",|"121.67|",|"88|",|"true|",|"1987-10-25 15:02:37|"|

|"186|",|"1166|",|"16|",|"294.40|",|"78|",|"false|",|

|"355|",|"124|",|"6|",|"330.27|",|"47|",|"true|",|"1990-05-18 13:41:19|"|

|"336|",|"1709|",|"22|",|"167.27|",|"28|",|"false|",|

|"409|",|"1843|",|"17|",|"412.25|",|"53|",|"false|",|

|"16|",|"1553|",|"10|",|"10.39|",|"29|",|"false|",|

|"102|",|"1053|",|"14|",|"50.98|",|"29|",|"false|",|

|"440|",|"668|",|"9|",|"153.80|",|"72|",|"true|",|"1972-11-06 10:22:06|"|

|"382|",|"449|",|"9|",|"696.60|",|"3|",|"true|",|"1983-02-10 10:12:03|"|

|"33|",|"1069|",|"8|",|"904.67|",|"48|",|"true|",|"2008-12-04 05:08:54|"|

|"114|",|"511|",|"1|",|"225.44|",|"67|",|"true|",|"2015-01-15 10:53:39|"|

|"300|",|"1327|",|"16|",|"81.60|",|"87|",|"false|",|

|"61|",|"1380|",|"12|",|"0.93|",|"24|",|"true|",|"2012-12-26 20:38:32|"|

|"499|",|"418|",|"1|",|"474.97|",|"57|",|"true|",|"2017-04-13 16:53:03|"|

|"82|",|"1614|",|"19|",|"905.38|",|"75|",|"true|",|"1985-07-02 15:51:10|"|

|"237|",|"1034|",|"15|",|"211.15|",|"51|",|"false|",|

|"287|",|"1545|",|"14|",|"934.41|",|"61|",|"false|",|

|"352|",|"1097|",|"7|",|"107.48|",|"20|",|"true|",|"1996-09-25 14:36:48|"|

|"295|",|"271|",|"18|",|"595.24|",|"57|",|"false|",|

|"227|",|"1106|",|"2|",|"554.92|",|"32|",|"false|",|

|"74|",|"1558|",|"5|",|"151.60|",|"6|",|"true|",|"2000-05-25 18:15:46|"|

|"349|",|"1529|",|"11|",|"158.74|",|"83|",|"false|",|

|"377|",|"134|",|"13|",|"117.90|",|"93|",|"false|",|

|"382|",|"17|",|"1|",|"601.26|",|"46|",|"true|",|"1994-05-15 09:38:21|"|

|"73|",|"1881|",|"20|",|"173.60|",|"40|",|"true|",|"1976-01-25 11:11:47|"|

|"393|",|"593|",|"5|",|"644.67|",|"28|",|"false|",|

|"116|",|"1839|",|"3|",|"666.22|",|"7|",|"true|",|"2002-11-06 11:35:04|"|

|"226|",|"1154|",|"6|",|"435.81|",|"37|",|"false|",|

|"389|",|"1437|",|"0|",|"401.22|",|"72|",|"false|",|

|"349|",|"1708|",|"5|",|"549.55|",|"0|",|"false|",|

|"405|",|"1932|",|"24|",|"98.59|",|"54|",|"true|",|"2013-10-07 15:18:15|"|

|"369|",|"482|",|"13|",|"337.32|",|"98|",|"true|",|"2012-04-19 08:41:10|"|

|"428|",|"664|",|"11|",|"584.94|",|"26|",|"true|",|"1989-01-04 23:24:21|"|

|"208|",|"100|",|"19|",|"913.75|",|"89|",|"true|",|"1974-06-06 18:23:57|"|

|"27|",|"91|",|"20|",|"394.43|",|"11|",|"false|",|

|"5|",|"1535|",|"13|",|"217.74|",|"27|",|"true|",|"2013-05-10 00:35:00|"|

|"357|",|"998|",|"12|",|"161.87|",|"16|",|"true|",|"2020-08-04 03:24:17|"|

|"93|",|"798|",|"15|",|"945.34|",|"3|",|"false|",|

|"33|",|"875|",|"1|",|"562.56|",|"76|",|"false|",|

